pkSeqID,flgs,proto,sport,dport,pkts,bytes,state,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,subcategory 
28016,1.0,3,0.0,0.0,2,120,1,4300,0.000158,0.000158,0.0,0.000158,0.000158,0.000158,1,1,60,60,6329.114258,0.0,0.0,0,0
28020,1.0,3,0.0,0.0,2,120,1,4304,0.00015,0.00015,0.0,0.00015,0.00015,0.00015,1,1,60,60,6666.666504,0.0,0.0,0,0
28034,1.0,1,138.0,138.0,4,1086,2,1991,728.372864,8.2e-05,1.4e-05,0.000163,6.8e-05,9.5e-05,4,0,1086,0,0.004119,0.004119,0.0,0,0
28224,1.0,1,58264.0,58264.0,2,180,1,4520,0.007474,0.007474,0.0,0.007474,0.007474,0.007474,1,1,90,90,133.797165,0.0,0.0,0,0
28225,1.0,3,0.0,0.0,2,120,1,4521,5.5e-05,5.5e-05,0.0,5.5e-05,5.5e-05,5.5e-05,1,1,60,60,18181.818359,0.0,0.0,0,0
28241,1.0,3,0.0,0.0,2,120,1,4538,0.000118,0.000118,0.0,0.000118,0.000118,0.000118,1,1,60,60,8474.576172,0.0,0.0,0,0
28301,1.0,1,43089.0,43089.0,2,180,1,4601,0.221635,0.221635,0.0,0.221635,0.221635,0.221635,1,1,90,90,4.511923,0.0,0.0,0,0
28302,1.0,3,0.0,0.0,2,102,1,4602,1.2e-05,1.2e-05,0.0,1.2e-05,1.2e-05,1.2e-05,1,1,60,42,83333.328125,0.0,0.0,0,0
28318,1.0,3,0.0,0.0,2,102,1,4619,0.000232,0.000232,0.0,0.000232,0.000232,0.000232,1,1,42,60,4310.344727,0.0,0.0,0,0
29726,1.0,2,59552.0,59552.0,3492,790617,1,18,1936.802368,4.312233,1.251197,1647.272949,0.006134,4.999997,1746,1746,675381,115236,1.802455,0.900972,0.90097,0,0
29741,7.0,2,8080.0,8080.0,70057,71833345,1,2,1940.859253,4.95646,0.089902,1913.193604,3.560582,4.999832,35028,35029,37747017,34086328,36.095352,18.047161,18.047676,0,0
29742,1.0,1,80.0,80.0,35029,33491025,2,1,1940.859253,4.956414,0.091445,1913.175903,3.56061,4.99944,35029,0,33491025,0,18.047676,18.047676,0.0,0,0
29743,1.0,2,80.0,80.0,35028,33447147,1,3,1940.80957,4.95627,0.093453,1913.120361,3.510904,4.999456,35028,0,33447147,0,18.047623,18.047623,0.0,0,0
29744,1.0,2,0.0,0.0,21369,19736679,1,4,1940.759888,4.920921,0.098533,1899.475586,3.455623,4.997121,21369,0,19736679,0,11.01012,11.01012,0.0,0,0
29745,1.0,1,365.0,365.0,19442,1166520,2,5,1940.80957,4.906859,0.096352,1894.047485,3.504733,4.978014,19442,0,1166520,0,10.016953,10.016953,0.0,0,0
29746,1.0,1,3456.0,3456.0,70056,69911387,1,6,1940.80603,4.956452,0.093033,1913.19043,3.560613,4.999815,35028,35028,35835594,34075793,36.095829,18.047657,18.047657,0,0
29747,1.0,2,80.0,80.0,11733,3472968,1,7,1940.756348,4.85817,0.09645,1875.253662,3.505328,4.978014,11733,0,3472968,0,6.045066,6.045066,0.0,0,0
31964,1.0,1,138.0,138.0,6,1629,2,3293,1456.749512,0.000191,3.1e-05,0.000572,0.000148,0.000222,6,0,1629,0,0.003432,0.003432,0.0,0,0
32571,1.0,1,49680.0,49680.0,2,132,2,3922,0.1061,0.1061,0.0,0.1061,0.1061,0.1061,2,0,132,0,9.425071,9.425071,0.0,0,0
32572,1.0,1,137.0,137.0,3,276,2,3923,1.528407,1.528407,0.0,1.528407,1.528407,1.528407,3,0,276,0,1.308552,1.308552,0.0,0,0
32666,1.0,1,44627.0,44627.0,2,333,1,4020,0.30755,0.30755,0.0,0.30755,0.30755,0.30755,1,1,98,235,3.251504,0.0,0.0,0,0
32667,1.0,1,47585.0,47585.0,2,366,1,4021,0.295126,0.295126,0.0,0.295126,0.295126,0.295126,1,1,98,268,3.388383,0.0,0.0,0,0
32670,1.0,1,39455.0,39455.0,2,1295,1,4024,0.175987,0.175987,0.0,0.175987,0.175987,0.175987,1,1,82,1213,5.682238,0.0,0.0,0,0
32671,1.0,1,28950.0,28950.0,2,1209,1,4025,0.17588,0.17588,0.0,0.17588,0.17588,0.17588,1,1,70,1139,5.685695,0.0,0.0,0,0
32673,1.0,1,40757.0,40757.0,2,885,1,4027,0.167138,0.167138,0.0,0.167138,0.167138,0.167138,1,1,82,803,5.98308,0.0,0.0,0,0
32674,1.0,1,20603.0,20603.0,2,323,1,4028,0.283312,0.283312,0.0,0.283312,0.283312,0.283312,1,1,93,230,3.529678,0.0,0.0,0,0
32676,1.0,1,2929.0,2929.0,2,419,1,4030,0.009264,0.009264,0.0,0.009264,0.009264,0.009264,1,1,93,326,107.944733,0.0,0.0,0,0
32678,1.0,1,42911.0,42911.0,2,1290,1,4032,0.057797,0.057797,0.0,0.057797,0.057797,0.057797,1,1,81,1209,17.301935,0.0,0.0,0,0
32679,1.0,1,48989.0,48989.0,2,1209,1,4033,0.057087,0.057087,0.0,0.057087,0.057087,0.057087,1,1,70,1139,17.517122,0.0,0.0,0,0
