pkSeqID,flgs,proto,sport,dport,pkts,bytes,state,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,TnBPsrcIP,TnBPDstIP,TnPPSrcIP,TnPPDstIP,TnPPerProto,TnPPerDport,avgPD,attack,subcategory 
1472538,1,2,41707,1065,2,120,5,6462,0.004092,0.004092,0,0.004092,0.004092,0.004092,1,1,60,60,244.379272,0,0,1943720,1994717,23147,22046,33223,5,488.7585533,1,4
1640043,1,2,42375,1556,2,120,5,29935,0.000124,0.000124,0,0.000124,0.000124,0.000124,1,1,60,60,8064.516113,0,0,1906960,1387518,22734,16044,33553,4,16129.03226,1,4
1638387,1,2,42375,1720,2,120,5,28278,0.000106,0.000106,0,0.000106,0.000106,0.000106,1,1,60,60,9433.961914,0,0,1922078,1384610,22976,16160,33910,4,18867.92453,1,4
1593892,1,2,42954,306,2,120,5,39235,6.80E-05,6.80E-05,0,6.80E-05,6.80E-05,6.80E-05,1,1,60,60,14705.88184,0,0,1902862,2838870,22717,35071,34058,7,29411.76471,1,4
1545835,1,2,43816,52822,1,60,8,27036,0,0,0,0,0,0,1,0,60,0,0,0,0,1885169,1374284,22431,15814,34371,9,0,1,4
1758269,1,2,43958,1277,2,120,5,21304,8.80E-05,8.80E-05,0,8.80E-05,8.80E-05,8.80E-05,1,1,60,60,11363.63672,0,0,1963376,2814171,23473,35728,31418,15,22727.27273,1,4
1499263,1,2,44446,9050,2,120,5,33415,0.000751,0.000751,0,0.000751,0.000751,0.000751,1,1,60,60,1331.557861,0,0,1850628,1441392,21842,17143,32083,5,2663.115846,1,4
1751707,1,2,44841,3914,2,120,5,14654,0.000118,0.000118,0,0.000118,0.000118,0.000118,1,1,60,60,8474.576172,0,0,1856449,1399405,22165,16240,33805,4,16949.15254,1,4
1551191,1,2,45196,366,2,120,5,32435,1.90E-05,1.90E-05,0,1.90E-05,1.90E-05,1.90E-05,1,1,60,60,52631.58203,0,0,1850297,1412429,22191,17670,33324,5,105263.1579,1,4
1784368,1,2,45394,5922,2,120,5,47690,7.60E-05,7.60E-05,0,7.60E-05,7.60E-05,7.60E-05,1,1,60,60,13157.89551,0,0,1934107,1374865,23318,16365,31129,13,26315.78947,1,4
1492108,1,2,45480,13783,2,120,5,26172,0.000555,0.000555,0,0.000555,0.000555,0.000555,1,1,60,60,1801.80188,0,0,1939934,1993019,23090,21912,32162,2,3603.603604,1,4
1489824,1,2,45480,5906,2,120,5,23887,0.003595,0.003595,0,0.003595,0.003595,0.003595,1,1,60,60,278.164124,0,0,1919080,1991324,22900,21971,32432,6,556.3282337,1,4
1744639,1,2,46443,2126,2,120,5,7580,0.003014,0.003014,0,0.003014,0.003014,0.003014,1,1,60,60,331.785004,0,0,1939634,1999833,23352,22071,32726,2,663.5700066,1,4
1713947,1,2,46950,49157,3,180,5,12864,0.000215,0.000215,0,0.000215,0.000215,0.000215,2,1,120,60,9302.326172,4651.163086,0,1876402,1384728,22699,15916,34411,2,13953.48837,1,4
1731740,1,2,46960,1310,2,120,5,30848,6.30E-05,6.30E-05,0,6.30E-05,6.30E-05,6.30E-05,1,1,60,60,15873.01563,0,0,1894222,1372704,22911,15814,33805,6,31746.03175,1,4
1522718,1,2,48209,6059,2,120,5,3644,0.000171,0.000171,0,0.000171,0.000171,0.000171,1,1,60,60,5847.953125,0,0,1933811,2845258,23069,35460,33298,4,11695.90643,1,4
1592747,1,2,48494,3306,7,500,3,38009,5.045273,0.019693,0.019323,0.039387,0.00037,0.039017,4,3,294,206,1.189232,0.59925,0.396411,1911791,1359296,22873,18030,34775,4,1.38743731,1,4
1782394,1,2,49760,19842,2,120,5,45684,0.000493,0.000493,0,0.000493,0.000493,0.000493,1,1,60,60,2028.397461,0,0,1905636,1990208,22644,22149,33328,6,4056.795132,1,4
1784153,1,2,49950,33899,2,120,5,47475,0.000506,0.000506,0,0.000506,0.000506,0.000506,1,1,60,60,1976.284546,0,0,1920556,1381522,23137,15861,34404,6,3952.56917,1,4
1639582,1,2,50418,4003,2,120,5,29474,3.00E-05,3.00E-05,0,3.00E-05,3.00E-05,3.00E-05,1,1,60,60,33333.33594,0,0,1869932,1391361,22397,15999,34197,4,66666.66667,1,4
1594335,1,2,51379,8400,2,120,5,39678,0.000158,0.000158,0,0.000158,0.000158,0.000158,1,1,60,60,6329.114258,0,0,1941337,2826808,23388,36195,31246,4,12658.22785,1,4
1697892,1,2,51570,1801,2,120,5,52189,0.000415,0.000415,0,0.000415,0.000415,0.000415,1,1,60,60,2409.638672,0,0,1930742,1448004,23226,17435,32348,2,4819.277108,1,4
1643530,1,2,51908,16080,2,120,5,33466,0.000378,0.000378,0,0.000378,0.000378,0.000378,1,1,60,60,2645.502686,0,0,1906643,1412806,22746,17462,32935,9,5291.005291,1,4
1662234,1,2,52012,22,8,582,3,16102,0.021852,0.021852,0,0.021852,0.021852,0.021852,5,3,338,244,320.336823,183.049606,91.524803,1895486,1336984,22710,17746,34993,4,366.0992129,1,4
1785887,1,2,52072,44443,2,120,5,49210,6.40E-05,6.40E-05,0,6.40E-05,6.40E-05,6.40E-05,1,1,60,60,15625,0,0,1919723,1377197,22853,16278,32063,10,31250,1,4
1689645,1,2,52760,6346,2,120,5,43851,0.000565,0.000565,0,0.000565,0.000565,0.000565,1,1,60,60,1769.911499,0,0,1899397,1995216,22997,22041,33214,1,3539.823009,1,4
1513967,1,2,53588,1081,2,120,5,48293,5.20E-05,5.20E-05,0,5.20E-05,5.20E-05,5.20E-05,1,1,60,60,19230.76953,0,0,1883549,1374928,22301,16157,32361,2,38461.53846,1,4
1512120,1,2,53588,10215,2,120,5,46444,1.70E-05,1.70E-05,0,1.70E-05,1.70E-05,1.70E-05,1,1,60,60,58823.52734,0,0,1850113,1385341,21954,16173,33294,4,117647.0588,1,4
1671835,1,2,53593,1174,2,120,5,25825,0.003663,0.003663,0,0.003663,0.003663,0.003663,1,1,60,60,273.000275,0,0,1863606,1962949,22420,21667,34181,3,546.000546,1,4
1691807,1,2,53639,3367,2,120,5,46013,0.000558,0.000558,0,0.000558,0.000558,0.000558,1,1,60,60,1792.114746,0,0,1865731,1999178,21977,22072,31493,2,3584.229391,1,4
1724139,1,2,53791,389,2,120,5,23209,0.003765,0.003765,0,0.003765,0.003765,0.003765,1,1,60,60,265.604248,0,0,1912505,1986734,22797,22015,33466,3,531.2084993,1,4
1724067,1,2,53791,2875,2,120,5,23137,0.004136,0.004136,0,0.004136,0.004136,0.004136,1,1,60,60,241.77951,0,0,1873054,1964508,22375,21772,34479,4,483.5589942,1,4
1626234,1,2,54177,6123,2,120,5,15981,0.000832,0.000832,0,0.000832,0.000832,0.000832,1,1,60,60,1201.923096,0,0,1880258,1377658,22799,18203,34544,1,2403.846154,1,4
1543447,1,2,54371,2007,2,120,5,24611,0.00361,0.00361,0,0.00361,0.00361,0.00361,1,1,60,60,277.008301,0,0,1926003,1988132,22950,21893,31792,2,554.0166205,1,4
1573345,1,2,54714,7402,2,120,5,18372,0.000475,0.000475,0,0.000475,0.000475,0.000475,1,1,60,60,2105.263184,0,0,1905521,1355846,22742,17617,34306,3,4210.526316,1,4
1614255,1,2,54921,50800,2,120,5,3883,5.50E-05,5.50E-05,0,5.50E-05,5.50E-05,5.50E-05,1,1,60,60,18181.81836,0,0,1876604,2819468,22647,34881,33452,4,36363.63636,1,4
1527704,1,2,55308,3920,2,120,5,8668,0.000475,0.000475,0,0.000475,0.000475,0.000475,1,1,60,60,2105.263184,0,0,1877227,1995075,22272,22181,33048,9,4210.526316,1,4
1644788,1,2,56060,8093,2,120,5,34726,0.000686,0.000686,0,0.000686,0.000686,0.000686,1,1,60,60,1457.725952,0,0,1931429,1462799,23040,17551,32169,6,2915.451895,1,4
1532426,1,2,56526,49155,9,632,3,13426,5.00743,0.100781,0.099269,0.201562,0.001512,0.20005,5,4,360,272,1.597626,0.798813,0.59911,1912842,1370832,22789,15701,33725,12,1.797329169,1,4
1636932,1,2,56548,3801,1,60,8,26824,0,0,0,0,0,0,1,0,60,0,0,0,0,1836258,1380327,21976,15940,33818,6,0,1,4
1608944,1,2,56551,1072,2,120,5,54419,0.000527,0.000527,0,0.000527,0.000527,0.000527,1,1,60,60,1897.533203,0,0,1883480,1336073,22618,17768,34750,1,3795.066414,1,4
1491111,1,2,57963,512,2,120,5,25174,0.004174,0.004174,0,0.004174,0.004174,0.004174,1,1,60,60,239.578339,0,0,1828603,1948626,21642,21559,34405,6,479.1566842,1,4
1726519,1,2,58864,1141,2,120,5,25591,0.000402,0.000402,0,0.000402,0.000402,0.000402,1,1,60,60,2487.562256,0,0,1887196,1967438,22708,21907,35120,5,4975.124378,1,4
1625504,1,2,59940,82,2,120,5,15250,0.000994,0.000994,0,0.000994,0.000994,0.000994,1,1,60,60,1006.036194,0,0,1919055,1447458,22872,17120,31980,2,2012.072435,1,4
1739846,1,2,60367,5998,2,120,5,2781,8.40E-05,8.40E-05,0,8.40E-05,8.40E-05,8.40E-05,1,1,60,60,11904.76172,0,0,1913942,2828106,22886,34708,34488,2,23809.52381,1,4
1732035,1,2,60855,1067,2,120,5,31143,0.000122,0.000122,0,0.000122,0.000122,0.000122,1,1,60,60,8196.72168,0,0,1885558,1358446,22480,15662,33815,4,16393.44262,1,4
1499029,1,2,61030,19,2,120,5,33180,0.000883,0.000883,0,0.000883,0.000883,0.000883,1,1,60,60,1132.502808,0,0,1894402,1374616,22535,17405,33828,7,2265.005663,1,4
1498091,1,2,61030,57797,2,120,5,32242,0.001628,0.001628,0,0.001628,0.001628,0.001628,1,1,60,60,614.25061,0,0,1888035,1341422,22538,17809,34962,6,1228.501229,1,4
1520563,1,2,61161,5922,2,120,5,1489,0.000122,0.000122,0,0.000122,0.000122,0.000122,1,1,60,60,8196.72168,0,0,1954281,2831446,23315,36248,31052,11,16393.44262,1,4
1630280,1,2,62535,37,2,120,5,20098,0.000269,0.000269,0,0.000269,0.000269,0.000269,1,1,60,60,3717.471924,0,0,1940354,2839524,23119,36103,31612,4,7434.944238,1,4
1486330,1,2,63583,3851,2,120,5,20354,7.30E-05,7.30E-05,0,7.30E-05,7.30E-05,7.30E-05,1,1,60,60,13698.62988,0,0,1907654,2791626,22730,34553,33580,3,27397.26027,1,4
1540804,1,2,63958,19801,2,120,5,21932,0.000252,0.000252,0,0.000252,0.000252,0.000252,1,1,60,60,3968.253906,0,0,1925609,2834191,23249,36045,31242,4,7936.507937,1,4
1607329,1,2,64424,111,3,180,5,52802,0.000496,0.000496,0,0.000496,0.000496,0.000496,2,1,120,60,4032.258057,2016.129028,0,1915441,1428921,22700,17501,32859,12,6048.387097,1,4
1687389,1,2,64477,5560,2,120,5,41552,9.50E-05,9.50E-05,0,9.50E-05,9.50E-05,9.50E-05,1,1,60,60,10526.31543,0,0,1904864,2816467,22798,35013,33646,6,21052.63158,1,4
1673284,1,2,64603,13456,2,120,5,27274,0.001372,0.001372,0,0.001372,0.001372,0.001372,1,1,60,60,728.862976,0,0,1888091,1971678,22667,21868,33933,6,1457.725948,1,4
1552409,1,2,64821,1213,2,120,5,33653,0.000286,0.000286,0,0.000286,0.000286,0.000286,1,1,60,60,3496.503662,0,0,1884602,1378906,22737,17547,33771,2,6993.006993,1,4
1570901,1,2,64830,5120,2,120,5,15924,0.000561,0.000561,0,0.000561,0.000561,0.000561,1,1,60,60,1782.531128,0,0,1955382,1489276,23345,17136,31117,2,3565.062389,1,4
1677530,1,2,64930,50300,2,120,5,31556,2.90E-05,2.90E-05,0,2.90E-05,2.90E-05,2.90E-05,1,1,60,60,34482.75781,0,0,1950767,1391681,23139,16461,32152,2,68965.51724,1,4
1775078,1,2,795,111,10,748,3,38253,0.003847,0.003847,0,0.003847,0.003847,0.003847,6,4,448,300,2339.485352,1299.714111,779.82843,1935218,1370478,23077,17331,33617,17,2599.428126,1,4
1610575,1,2,86,111,10,748,3,133,0.003962,0.003962,0,0.003962,0.003962,0.003962,6,4,448,300,2271.580078,1261.988892,757.193359,1842792,1378674,21946,17630,33901,10,2523.977789,1,4
1697918,3,2,58700,8009,8,562,3,52215,6.039521,0.017421,0.015889,0.034841,0.001532,0.033309,4,4,290,272,1.159032,0.496728,0.496728,1953872,1481535,23491,16868,30827,3,1.324608359,1,4
1479116,2,2,50578,49155,10,716,3,13017,5.005442,0.103519,0.101775,0.207037,0.001743,0.205294,6,4,432,284,1.798043,0.998913,0.599348,1884730,1387948,22188,16205,32384,7,1.997825567,1,4
