pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,smac,dmac,sum,min,max,soui,doui,sco,dco,spkts,dpkts,sbytes,dbytes,rate,srate,drate,TnBPsrcIP,TnBPDstIP,TnPPSrcIP,TnPPDstIP,TnPPerProto,TnPPerDport,avgPD,attack,category,subcategory 
385139,1526880858,e,tcp,192.168.100.147,59460,192.168.100.3,38617,2,120,RST,1526880858,228432,0.039035,0.039035,0,,,0.039035,0.039035,0.039035,,,,,1,1,60,60,25.618034,0,0,1954085,2802531,23112,35776,31098,4,51.23607019,1,Reconnaissance,Service_Scan
520309,1526898842,e,tcp,192.168.100.147,65233.0,192.168.100.3,10115.0,2,120,RST,1526898842,20991,0.000509,0.000509,0,,,0.000509,0.000509,0.000509,,,,,1,1,60,60,1964.636597,0,0,1969387,2825537,23431,36002,31133,2,3929.273084,1,Reconnaissance,Service_Scan
1784368,1526981417,e,tcp,192.168.100.149,45394,192.168.100.6,5922,2,120,RST,1526981417,47690,0.000076,0.000076,0,,,0.000076,0.000076,0.000076,,,,,1,1,60,60,13157.89551,0,0,1934107,1374865,23318,16365,31129,13,26315.78947,1,Reconnaissance,OS_Fingerprint
2404079,1528081396,e s,tcp,192.168.100.149,42614.0,192.168.100.5,80.0,5,676,RST,1528081455,19847,59.082561,0.033035,0.057218,,,0.132139,0,0.132139,,,,,4,1,616,60,0.067702,0.05089,0,1907529,1992542,23017,21824,31086,90561,0.08462734,1,DoS,TCP
2919408,1528081519,e s,tcp,192.168.100.147,27722.0,192.168.100.7,80.0,7,1078,REQ,1528081570,10836,51.397572,0,0,,,0,0,0,,,,,7,0,1078,0,0.116737,0.116737,0,1942230,1488297,23095,17060,31078,90518,0.136193204,1,DoS,TCP
211262,1526880843,e,tcp,192.168.100.147,59460,192.168.100.3,44379,2,120,RST,1526880843,54554,0.017155,0.017155,0,,,0.017155,0.017155,0.017155,,,,,1,1,60,60,58.292046,0,0,1923229,2835054,22896,36113,31132,2,116.5840863,1,Reconnaissance,Service_Scan
1261183,1526967368,e,tcp,192.168.100.148,50428,192.168.100.3,60838,2,120,RST,1526967368,117407,0.035602,0.035602,0,,,0.035602,0.035602,0.035602,,,,,1,1,60,60,28.08831,0,0,1931285,2833143,22914,36005,31129,5,56.17661929,1,Reconnaissance,Service_Scan
1955722,1528081324,e s,tcp,192.168.100.149,18124,192.168.100.5,80,4,616,REQ,1528081352,95864,28.366547,0,0,,,0,0,0,,,,,4,0,616,0,0.105758,0.105758,0,1927339,2010245,23176,22082,31183,90532,0.141011171,1,DoS,TCP
1210387,1526967365,e,tcp,192.168.100.148,50428,192.168.100.3,37912,2,120,RST,1526967365,66610,0.013574,0.013574,0,,,0.013574,0.013574,0.013574,,,,,1,1,60,60,73.67025,0,0,1944977,2830895,23115,36110,31227,3,147.3405039,1,Reconnaissance,Service_Scan
937331,1526949247,e,tcp,192.168.100.148,42640.0,192.168.100.3,15351.0,2,120,RST,1526949247,117737,0.016525,0.016525,0,,,0.016525,0.016525,0.016525,,,,,1,1,60,60,60.51437,0,0,1930690,2817670,22815,35872,31114,7,121.0287443,1,Reconnaissance,Service_Scan
1570901,1526894256,e,tcp,192.168.100.147,64830,192.168.100.7,5120,2,120,RST,1526894256,15924,0.000561,0.000561,0,,,0.000561,0.000561,0.000561,,,,,1,1,60,60,1782.531128,0,0,1955382,1489276,23345,17136,31117,2,3565.062389,1,Reconnaissance,OS_Fingerprint
340158,1526880853,e,tcp,192.168.100.150,56304,192.168.100.3,14982,2,120,RST,1526880853,183451,0.024423,0.024423,0,,,0.024423,0.024423,0.024423,,,,,1,1,60,60,40.945011,0,0,1920827,2839558,22753,36263,31194,7,81.8900217,1,Reconnaissance,Service_Scan
2983203,1528081523,e g,tcp,192.168.100.150,56226.0,192.168.100.3,80.0,9,822,RST,1528081576,74631,53.204296,0.168135,0.016937,,,0.504405,0.144367,0.182586,,,,,6,3,642,180,0.150364,0.093977,0.037591,1892533,2821731,22407,35897,31145,90502,0.169159272,1,DoS,TCP
1322564,1526967373,e,tcp,192.168.100.148,50428,192.168.100.3,13819,2,120,RST,1526967373,178789,0.057268,0.057268,0,,,0.057268,0.057268,0.057268,,,,,1,1,60,60,17.461758,0,0,1973574,2821600,23436,36038,31152,2,34.9235175,1,Reconnaissance,Service_Scan
843480,1526949243,e,tcp,192.168.100.148,42640,192.168.100.3,54845,2,120,RST,1526949243,23886,0.000507,0.000507,0,,,0.000507,0.000507,0.000507,,,,,1,1,60,60,1972.386475,0,0,1938564,2811774,23124,35910,31173,2,3944.773176,1,Reconnaissance,Service_Scan
1204392,1526967365,e,tcp,192.168.100.148,50428,192.168.100.3,23030,2,120,RST,1526967365,60615,0.005927,0.005927,0,,,0.005927,0.005927,0.005927,,,,,1,1,60,60,168.719421,0,0,1959600,2811355,23342,35800,31157,3,337.4388392,1,Reconnaissance,Service_Scan
1308069,1526967372,e,tcp,192.168.100.150,47095,192.168.100.3,6184,2,120,RST,1526967372,164294,0.020465,0.020465,0,,,0.020465,0.020465,0.020465,,,,,1,1,60,60,48.863914,0,0,1882793,2813539,22199,35896,31217,4,97.727828,1,Reconnaissance,Service_Scan
666785,1526898851,e,tcp,192.168.100.150,54114,192.168.100.3,9018,2,120,RST,1526898851,167469,0.04429,0.04429,0,,,0.04429,0.04429,0.04429,,,,,1,1,60,60,22.578461,0,0,1913080,2802750,22693,35559,31161,2,45.1569203,1,Reconnaissance,Service_Scan
1181363,1526967364,e,tcp,192.168.100.147,52071,192.168.100.3,51051,2,120,RST,1526967364,37586,0.000997,0.000997,0,,,0.000997,0.000997,0.000997,,,,,1,1,60,60,1003.008972,0,0,1930559,2800528,22867,35840,31308,3,2006.018054,1,Reconnaissance,Service_Scan
757177,1526898860,e,tcp,192.168.100.150,54114,192.168.100.3,32304,2,120,RST,1526898860,257862,0.035339,0.035339,0,,,0.035339,0.035339,0.035339,,,,,1,1,60,60,28.297348,0,0,1860419,2803886,21835,35686,31134,2,56.59469708,1,Reconnaissance,Service_Scan
2016285,1528081326,e g,tcp,192.168.100.150,26695.0,192.168.100.3,80.0,6,548,RST,1528081354,156427,27.759964,0.141289,0.033575,,,0.282578,0.107714,0.174864,,,,,4,2,428,120,0.180116,0.108069,0.036023,1880726,2832193,22320,36075,31205,90478,0.216138609,1,DoS,TCP
1594335,1526894963,e,tcp,192.168.100.149,51379,192.168.100.3,8400,2,120,RST,1526894963,39678,0.000158,0.000158,0,,,0.000158,0.000158,0.000158,,,,,1,1,60,60,6329.114258,0,0,1941337,2826808,23388,36195,31246,4,12658.22785,1,Reconnaissance,OS_Fingerprint
1540804,1526877803,e,tcp,192.168.100.149,63958,192.168.100.3,19801,2,120,RST,1526877803,21932,0.000252,0.000252,0,,,0.000252,0.000252,0.000252,,,,,1,1,60,60,3968.253906,0,0,1925609,2834191,23249,36045,31242,4,7936.507937,1,Reconnaissance,OS_Fingerprint
2159904,1528081357,e s,tcp,192.168.100.148,53932.0,192.168.100.6,80.0,7,890,RST,1528081381,37834,24.255228,0.008523,0.010444,,,0.042614,0,0.021863,,,,,5,2,770,120,0.247369,0.165062,0.053219,1934670,1374489,22982,16295,31254,90404,0.288597576,1,DoS,TCP
2761826,1528081466,e s,tcp,192.168.100.148,28626.0,192.168.100.6,80.0,3,462,REQ,1528081505,115417,39.070354,0,0,,,0,0,0,,,,,3,0,462,0,0.05119,0.05119,0,1962830,1372612,23252,16272,31305,90456,0.076784562,1,DoS,TCP
1865638,1528081322,e s,tcp,192.168.100.147,8329.0,192.168.100.7,80.0,5,770,REQ,1528081352,5780,30.655609,0,0,,,0,0,0,,,,,5,0,770,0,0.130482,0.130482,0,1943005,1488936,23022,17203,31263,90485,0.163102289,1,DoS,TCP
951792,1526949248,e,tcp,192.168.100.149,41607,192.168.100.3,13683,2,120,RST,1526949248,132198,0.051637,0.051637,0,,,0.051637,0.051637,0.051637,,,,,1,1,60,60,19.365957,0,0,1908101,2831769,23043,36040,31195,7,38.73191704,1,Reconnaissance,Service_Scan
1999270,1528081325,e s,tcp,192.168.100.149,29973,192.168.100.5,80,4,616,REQ,1528081353,139412,27.355392,0,0,,,0,0,0,,,,,4,0,616,0,0.109668,0.109668,0,1932903,2010598,23138,22393,31320,90406,0.146223458,1,DoS,TCP
1899625,1528081322,e g,tcp,192.168.100.150,2979,192.168.100.3,80,6,548,RST,1528081345,39767,22.790915,0.094596,0.05301,,,0.189193,0.041587,0.147606,,,,,4,2,428,120,0.219386,0.131631,0.043877,1889239,2844215,22300,36051,31302,90426,0.263262796,1,DoS,TCP
999513,1526949253,e,tcp,192.168.100.149,41607,192.168.100.3,53994,2,120,RST,1526949253,179920,0.048917,0.048917,0,,,0.048917,0.048917,0.048917,,,,,1,1,60,60,20.442791,0,0,1931986,2825012,23265,35768,31278,6,40.8855817,1,Reconnaissance,Service_Scan
844798,1526949243,e,tcp,192.168.100.148,42640,192.168.100.3,49341,2,120,RST,1526949243,25204,0.000743,0.000743,0,,,0.000743,0.000743,0.000743,,,,,1,1,60,60,1345.89502,0,0,1931539,2846105,22878,36187,31316,4,2691.79004,1,Reconnaissance,Service_Scan
1956562,1528081324,e s,tcp,192.168.100.148,30597,192.168.100.6,80,7,890,RST,1528081355,96704,31.213381,0.04175,0.075868,,,0.208751,0,0.192994,,,,,5,2,770,120,0.192225,0.128947,0.0521,1964919,1377992,23334,16437,31153,90414,0.224262793,1,DoS,TCP
1257279,1526967368,e,tcp,192.168.100.150,47095,192.168.100.3,32122,2,120,RST,1526967368,113502,0.031692,0.031692,0,,,0.031692,0.031692,0.031692,,,,,1,1,60,60,31.553705,0,0,1883283,2816005,22260,35694,31327,2,63.10740881,1,Reconnaissance,Service_Scan
2727981,1528081464,e g,tcp,192.168.100.150,40870.0,192.168.100.3,80.0,9,822,RST,1528081516,81572,52.385471,0.137741,0.027428,,,0.413222,0.113292,0.176045,,,,,6,3,642,180,0.152714,0.095446,0.038179,1892034,2828703,22467,35883,31391,90390,0.171803361,1,DoS,TCP
2511207,1528081404,e s,tcp,192.168.100.147,42079.0,192.168.100.7,80.0,6,924,REQ,1528081458,126975,53.477589,0,0,,,0,0,0,,,,,6,0,924,0,0.093497,0.093497,0,1959487,1478826,23349,17192,31344,90369,0.112196532,1,DoS,TCP
285419,1526880848,e,tcp,192.168.100.150,56304,192.168.100.3,19991,2,120,RST,1526880848,128711,0.024216,0.024216,0,,,0.024216,0.024216,0.024216,,,,,1,1,60,60,41.295013,0,0,1910102,2825668,22434,35784,31391,6,82.59002313,1,Reconnaissance,Service_Scan
669469,1526898851,e,tcp,192.168.100.150,54114,192.168.100.3,31960,2,120,RST,1526898851,170153,0.040014,0.040014,0,,,0.040014,0.040014,0.040014,,,,,1,1,60,60,24.991253,0,0,1903222,2834116,22500,35992,31413,6,49.98250612,1,Reconnaissance,Service_Scan
1120151,1526958495,e,tcp,192.168.100.150,10899.0,192.168.100.3,8715.0,2,120,RST,1526958495,3628,0.000053,0.000053,0,,,0.000053,0.000053,0.000053,,,,,1,1,60,60,18867.92383,0,0,1890795,2819494,22418,35752,31377,2,37735.84906,1,Reconnaissance,Service_Scan
2403997,1528081396,e s,tcp,192.168.100.149,42577.0,192.168.100.5,80.0,4,616,REQ,1528081455,19765,58.889793,0,0,,,0,0,0,,,,,4,0,616,0,0.050943,0.050943,0,1922454,2005339,23305,22097,31366,90339,0.067923485,1,DoS,TCP
2294502,1528081360,e s,tcp,192.168.100.147,33940.0,192.168.100.7,80.0,5,770,REQ,1528081384,172432,23.912832,0,0,,,0,0,0,,,,,5,0,770,0,0.167274,0.167274,0,1962664,1485092,23292,17189,31400,90378,0.209092758,1,DoS,TCP
867499,1526949244,e,tcp,192.168.100.148,42640,192.168.100.3,65334,2,120,RST,1526949244,47905,0.010143,0.010143,0,,,0.010143,0.010143,0.010143,,,,,1,1,60,60,98.590164,0,0,1966414,2815651,23297,35758,31410,10,197.1803214,1,Reconnaissance,Service_Scan
1667709,1526962943,e,tcp,192.168.100.149,40281,192.168.100.3,10010,2,120,RST,1526962943,21656,0.000071,0.000071,0,,,0.000071,0.000071,0.000071,,,,,1,1,60,60,14084.50684,0,0,1922479,2832063,23197,36054,31392,2,28169.01408,1,Reconnaissance,OS_Fingerprint
1916628,1528081322,e s,tcp,192.168.100.149,7600,192.168.100.5,80,4,616,REQ,1528081351,56770,28.822247,0,0,,,0,0,0,,,,,4,0,616,0,0.104086,0.104086,0,1937509,1990538,23391,21699,31302,90292,0.138781685,1,DoS,TCP
2836863,1528081474,e s,tcp,192.168.100.148,53468.0,192.168.100.6,80.0,3,462,REQ,1528081512,190454,38.31559,0,0,,,0,0,0,,,,,3,0,462,0,0.052198,0.052198,0,1950257,1369341,23287,16222,31530,90323,0.078297111,1,DoS,TCP
1758269,1526980943,e,tcp,192.168.100.148,43958,192.168.100.3,1277,2,120,RST,1526980943,21304,0.000088,0.000088,0,,,0.000088,0.000088,0.000088,,,,,1,1,60,60,11363.63672,0,0,1963376,2814171,23473,35728,31418,15,22727.27273,1,Reconnaissance,OS_Fingerprint
2164770,1528081357,e s,tcp,192.168.100.148,55296.0,192.168.100.6,80.0,7,890,RST,1528081381,42700,24.30192,0.008269,0.01013,,,0.041347,0,0.021008,,,,,5,2,770,120,0.246894,0.164738,0.053108,1958181,1379459,23158,16389,31473,90386,0.288043085,1,DoS,TCP
354094,1526880854,e,tcp,192.168.100.150,56304,192.168.100.3,33646,2,120,RST,1526880854,197387,0.0597,0.0597,0,,,0.0597,0.0597,0.0597,,,,,1,1,60,60,16.750418,0,0,1905035,2827373,22533,35919,31370,2,33.50083752,1,Reconnaissance,Service_Scan
725574,1526898857,e,tcp,192.168.100.150,54114,192.168.100.3,59502,2,120,RST,1526898857,226259,0.046297,0.046297,0,,,0.046297,0.046297,0.046297,,,,,1,1,60,60,21.599672,0,0,1860654,2815323,22021,35651,31397,6,43.19934337,1,Reconnaissance,Service_Scan
2287356,1528081360,e s,tcp,192.168.100.148,30067.0,192.168.100.6,80.0,7,890,RST,1528081390,165286,30.276451,0.06778,0.109678,,,0.338898,0,0.282787,,,,,5,2,770,120,0.198174,0.132361,0.041305,1948303,1381346,23224,16310,31585,90314,0.231202792,1,DoS,TCP
2722687,1528081464,e s,tcp,192.168.100.147,24888.0,192.168.100.7,80.0,7,1078,REQ,1528081514,76278,50.414803,0.739909,1.654487,,,4.439453,0,4.439453,,,,,7,0,1078,0,0.119013,0.119013,0,1938919,1465714,23142,17104,31607,90329,0.138848108,1,DoS,TCP
378893,1526880857,e,tcp,192.168.100.149,57044,192.168.100.3,36069,2,120,RST,1526880857,222186,0.024893,0.024893,0,,,0.024893,0.024893,0.024893,,,,,1,1,60,60,40.171936,0,0,1917772,2834779,23187,35932,31382,2,80.34387177,1,Reconnaissance,Service_Scan
77246,1526351374,e s,tcp,192.168.100.148,1124,192.168.100.5,952,4,240,RST,1526351376,13199,1.014746,0.507373,0.507373,,,1.014746,0,1.014746,,,,,3,1,180,60,2.956405,1.970937,0,1945473,1983058,23102,21879,31395,1,3.941873139,1,Reconnaissance,Service_Scan
707921,1526898855,e,tcp,192.168.100.150,54114,192.168.100.3,64084,2,120,RST,1526898855,208606,0.072161,0.072161,0,,,0.072161,0.072161,0.072161,,,,,1,1,60,60,13.857902,0,0,1906235,2827504,22477,35891,31425,7,27.71580216,1,Reconnaissance,Service_Scan
1045435,1526949258,e,tcp,192.168.100.149,41607,192.168.100.3,4653,2,120,RST,1526949258,225843,0.03907,0.03907,0,,,0.03907,0.03907,0.03907,,,,,1,1,60,60,25.595087,0,0,1950347,2852903,23593,36358,31432,2,51.19017149,1,Reconnaissance,Service_Scan
2913931,1528081519,e s,tcp,192.168.100.149,39882.0,192.168.100.5,80.0,4,616,REQ,1528081562,5359,43.375229,0,0,,,0,0,0,,,,,4,0,616,0,0.069164,0.069164,0,1921312,2003428,23117,21865,31414,90308,0.092218533,1,DoS,TCP
1691807,1526963400,e,tcp,192.168.100.150,53639,192.168.100.5,3367,2,120,RST,1526963400,46013,0.000558,0.000558,0,,,0.000558,0.000558,0.000558,,,,,1,1,60,60,1792.114746,0,0,1865731,1999178,21977,22072,31493,2,3584.229391,1,Reconnaissance,OS_Fingerprint
2050607,1528081329,e s,tcp,192.168.100.147,1112.0,192.168.100.7,80.0,4,616,REQ,1528081352,190749,23.400112,0,0,,,0,0,0,,,,,4,0,616,0,0.128205,0.128205,0,1941564,1500902,22944,17518,31454,90277,0.170939353,1,DoS,TCP
2643766,1528081423,e s,tcp,192.168.100.149,11672.0,192.168.100.5,80.0,3,462,REQ,1528081448,259534,24.545696,0,0,,,0,0,0,,,,,3,0,462,0,0.081481,0.081481,0,1918393,2014411,23127,22155,31608,90285,0.12222102,1,DoS,TCP
1954955,1528081324,e s,tcp,192.168.100.149,17976,192.168.100.5,80,4,616,REQ,1528081352,95097,28.389345,0,0,,,0,0,0,,,,,4,0,616,0,0.105673,0.105673,0,1931675,2004050,23259,22025,31398,90248,0.140897932,1,DoS,TCP
2468514,1528081401,e s,tcp,192.168.100.149,63282.0,192.168.100.5,80.0,4,522,RST,1528081438,84282,36.580658,0.071613,0.101277,,,0.21484,0,0.21484,,,,,3,1,462,60,0.082011,0.054674,0,1919063,1985600,23167,21739,31488,90243,0.109347404,1,DoS,TCP
2102168,1528081338,e,tcp,192.168.100.150,53911.0,192.168.100.3,80.0,3,274,RST,1528081338,242310,0.193585,0.193585,0,,,0.193585,0.193585,0.193585,,,,,2,1,214,60,10.331379,5.165689,0,1891296,2832691,22256,35940,31408,90285,15.49706847,1,DoS,TCP
1078486,1526949261,e,tcp,192.168.100.150,49731,192.168.100.3,5491,2,120,RST,1526949261,258894,0.007991,0.007991,0,,,0.007991,0.007991,0.007991,,,,,1,1,60,60,125.140785,0,0,1862077,2831478,22044,36094,31476,2,250.2815668,1,Reconnaissance,Service_Scan
85241,1526351537,e,tcp,192.168.100.147,49832,192.168.100.6,5190,2,134,RST,1526351537,21618,0.000475,0.000475,0,,,0.000475,0.000475,0.000475,,,,,1,1,74,60,2105.263184,0,0,1967297,1363128,23333,16226,31522,4,4210.526316,1,Reconnaissance,Service_Scan
2086320,1528081333,e s,tcp,192.168.100.149,61038.0,192.168.100.5,80.0,3,462,REQ,1528081350,226462,17.302702,0,0,,,0,0,0,,,,,3,0,462,0,0.115589,0.115589,0,1938445,2009525,23451,22179,31518,90260,0.173383325,1,DoS,TCP
2997689,1528081523,e s,tcp,192.168.100.149,54488.0,192.168.100.5,80.0,3,462,REQ,1528081566,89117,42.661465,0,0,,,0,0,0,,,,,3,0,462,0,0.046881,0.046881,0,1902610,2012596,23069,22179,31471,90286,0.070321073,1,DoS,TCP
885584,1526949244,e,tcp,192.168.100.148,42640,192.168.100.3,5705,2,120,RST,1526949244,65990,0.002679,0.002679,0,,,0.002679,0.002679,0.002679,,,,,1,1,60,60,373.273621,0,0,1950057,2818291,23184,35804,31577,2,746.5472191,1,Reconnaissance,Service_Scan
1954001,1528081323,e s,tcp,192.168.100.147,41689,192.168.100.7,80,5,770,REQ,1528081355,94143,31.739985,0,0,,,0,0,0,,,,,5,0,770,0,0.126024,0.126024,0,1947546,1458169,22990,16868,31439,90226,0.157530005,1,DoS,TCP
77581,1526351371,e s,tcp,192.168.100.149,1758,192.168.100.5,328,4,240,RST,1526351371,13534,0.007766,0.007766,0,,,0.007766,0.007766,0.007766,,,,,2,2,120,120,386.299255,128.766418,128.766418,1901687,1975003,22946,21605,31561,2,515.0656709,1,Reconnaissance,Service_Scan
378693,1526880857,e,tcp,192.168.100.147,59460,192.168.100.3,60844,2,120,RST,1526880857,221986,0.044983,0.044983,0,,,0.044983,0.044983,0.044983,,,,,1,1,60,60,22.230621,0,0,1941104,2842091,23174,35983,31546,2,44.46124091,1,Reconnaissance,Service_Scan
